Wavelength ,LRB Spec Only,LRR Spec Only,HRB Spec Only,HRR Spec Only
370,0.268215276,0,0,0
380,0.3298243673,0,0,0
390,0.3858135549,0,0,0
400,0.4329440522,0,0,0
410,0.4729222334,0,0,0
420,0.5056927676,0,0,0
430,0.5324465671,0,0.4788314995,0
440,0.5540798741,0,0.531480987,0
450,0.5720669623,0,0.5740732426,0
460,0.589327394,0,0.6109053992,0
470,0.604721769,0,0.6386104966,0
480,0.617833491,0,0.6542274151,0
490,0.6291093755,0,0.660133404,0
500,0.638806414,0,0.6533585679,0
510,0.6464622447,0.4062559885,0.6354738148,0
520,0.6527822453,0.4367384169,0.6110808958,0
530,0.6574220626,0.466658161,0.5751427548,0
540,0.6601313388,0.4956416571,0.530317825,0
550,0.6642788778,0.5262067939,0.4856208511,0
560,0.6601565653,0.5504404658,0,0
570,0.6538697836,0.5725585926,0,0
580,0.6456538189,0.5925802456,0,0
590,0.6357813344,0.6105517253,0,0
600,0.6226493949,0.6248075176,0,0
610,0.6118660648,0.6409037883,0,0
620,0.5997648027,0.6553033003,0,0
630,0.5862609245,0.6677751685,0,0
640,0.5713801893,0.678003136,0,0.6014440311
650,0.552037509,0.6821082931,0,0.6231596017
660,0.5332327438,0.6859204573,0,0.643349556
670,0.5134989038,0.687501001,0,0.6603222175
680,0.4931741164,0.6871250029,0,0.6735011856
690,0.47254604,0.6850746307,0,0.6830573681
700,0.4545304333,0.6859097933,0,0.6939973445
710,0.434208078,0.6823424473,0,0.6991523179
720,0.4142039826,0.6779267425,0,0.7019891655
730,0.3943705682,0.6727230474,0,0.7027746276
740,0,0.6666740286,0,0.702236673
750,0,0.6603090496,0,0.7009012509
760,0,0.6532395321,0,0.6981339192
770,0,0.6457010628,0,0.6934542494
780,0,0.6377447502,0,0.6864738746
790,0,0.6291787689,0,0.6777061003
800,0,0.620366155,0,0.6677792992
810,0,0.6102353913,0,0.6543251772
820,0,0.5997189922,0,0.6386902254
830,0,0.588921871,0,0.622652939
840,0,0.5778020371,0,0.606006959
850,0,0.5661671521,0,0.5882155072
860,0,0.5564174957,0,0.5724038512
870,0,0.5461301839,0,0.5538825452
880,0,0.5349478516,0,0.5331233358
890,0,0.5224884378,0,0
900,0,0.5082054382,0,0
910,0,0.492847068,0,0
920,0,0.4752899927,0,0
930,0,0.4551337813,0,0
940,0,0.4321328902,0,0
950,0,0.4060138094,0,0
960,0,0.3735196428,0,0
970,0,0.3385787522,0,0
980,0,0.3018572678,0,0
990,0,0.2639576488,0,0
1000,0,0.2253649018,0,0
